ID,RevolvingUtilizationOfUnsecuredLines,Age,NumberOfTime30-59DaysPastDueNotWorse,DebtRatio,MonthlyIncome,NumberOfOpenCreditLinesAndLoans,NumberOfTimes90DaysLate,NumberRealEstateLoansOrLines,NumberOfTime60-89DaysPastDueNotWorse,NumberOfDependents,SeriousDlqin2yrs
119318,0.0,67,0,1.0,3400.0,2,0,1,0,0.0,0
45144,0.0,79,0,0.0,10000.0,2,0,0,0,0.0,0
106916,0.0,68,0,2.0,5015.0,6,0,2,0,0.0,0
37102,2.0,57,1,2.0,5000.0,3,0,2,0,0.0,0
37133,0.0,59,0,1.0,6200.0,10,0,2,0,0.0,0
69889,0.0,62,0,2.0,10000.0,9,0,1,0,0.0,0
5664,0.0,32,0,3.0,1700.0,7,0,1,0,1.0,0
23526,0.0,34,0,2.0,3652.0,6,0,1,0,1.0,0
144351,0.0,67,0,0.0,4453.0,8,0,0,0,0.0,0
77238,3.0,28,0,2.0,1817.0,8,0,1,0,0.0,0
79576,0.0,53,0,2.0,3600.0,5,0,1,0,1.0,0
78560,1.0,51,0,2.0,4176.0,12,0,2,1,4.0,0
105151,0.0,85,0,0.0,9706.0,6,0,1,0,0.0,0
48004,0.0,72,0,0.0,2600.0,3,0,0,0,0.0,0
38819,0.0,37,0,2.0,6625.0,15,0,2,0,1.0,0
127678,0.0,72,0,1.0,15000.0,6,0,2,0,2.0,0
52349,0.0,57,0,1.0,17975.0,22,0,6,0,1.0,0
34600,0.0,53,0,2.0,4741.0,8,0,2,0,2.0,0
111786,2.0,34,0,1.0,5240.0,3,1,0,0,0.0,0
127993,0.0,62,0,3.0,0.0,19,0,0,0,0.0,0
106211,0.0,65,0,2.0,1475.0,9,0,1,0,1.0,0
88621,0.0,64,0,1.0,4950.0,11,0,1,0,0.0,0
19053,2.0,34,0,1.0,5000.0,10,0,0,0,0.0,0
117390,1.0,49,1,2.0,6570.0,5,0,2,0,3.0,0
26523,0.0,32,0,2.0,4166.0,8,0,2,0,1.0,0
90546,1.0,64,0,1.0,5416.0,12,1,0,0,0.0,0
144072,0.0,58,0,2.0,5024.0,18,0,1,0,0.0,0
24390,2.0,43,0,2.0,5525.0,6,0,1,0,1.0,0
140668,0.0,60,1,3.0,4028.0,29,0,13,0,3.0,0
115485,0.0,29,0,0.0,2700.0,1,0,0,0,0.0,0
30885,1.0,63,1,2.0,5400.0,8,0,1,0,0.0,0
57137,2.0,49,1,1.0,16210.0,10,0,2,0,2.0,0
36583,2.0,56,1,2.0,8127.0,17,0,1,0,1.0,0
85341,0.0,46,0,1.0,6395.0,7,0,1,0,2.0,0
10697,0.0,77,0,0.0,5000.0,2,0,0,0,1.0,0
107933,1.0,57,0,2.0,7000.0,9,0,3,0,0.0,0
145665,0.0,54,0,1.0,26000.0,5,0,2,0,1.0,0
107516,0.0,74,0,2.0,3333.0,6,0,1,0,0.0,0
127591,2.0,25,1,0.0,3360.0,0,1,0,1,0.0,1
9011,1.0,42,0,2.0,10217.0,5,0,2,0,2.0,0
71880,2.0,45,0,2.0,8384.0,12,0,2,0,1.0,0
84616,2.0,52,0,1.0,7800.0,5,0,0,0,0.0,1
77279,0.0,47,0,2.0,3216.0,6,0,1,0,1.0,0
108054,0.0,82,0,3.0,650.0,19,0,1,0,0.0,0
32312,2.0,56,1,2.0,7700.0,25,0,1,0,0.0,0
119545,0.0,39,0,3.0,2200.0,8,0,2,0,0.0,0
129656,0.0,61,0,0.0,5100.0,3,0,0,0,1.0,0
83471,1.0,57,1,1.0,3630.0,6,0,0,0,2.0,0
52574,2.0,54,0,2.0,9350.0,12,0,2,0,0.0,0
21724,0.0,35,0,3.0,1.0,11,0,2,0,0.0,0
138003,0.0,58,0,2.0,8544.0,14,0,3,0,1.0,0
86364,0.0,48,0,1.0,4650.0,10,0,0,0,1.0,1
90964,0.0,26,1,1.0,3600.0,4,0,0,0,0.0,0
30740,2.0,23,1,0.0,900.0,4,0,0,0,0.0,0
81666,2.0,64,0,2.0,5550.0,4,0,1,0,1.0,0
8766,2.0,77,0,1.0,4500.0,13,0,0,0,0.0,0
41736,2.0,55,0,2.0,16000.0,4,0,2,0,0.0,0
55972,0.0,82,0,0.0,3000.0,3,0,0,0,1.0,0
10495,0.0,35,0,1.0,2200.0,5,0,0,0,0.0,0
6735,1.0,68,1,1.0,1395.0,9,0,0,0,0.0,0
126158,0.0,37,0,1.0,2583.0,8,0,1,0,1.0,0
115914,0.0,53,0,1.0,9642.0,11,0,2,0,0.0,0
139625,1.0,76,0,1.0,5250.0,15,0,1,0,0.0,0
25282,0.0,47,0,1.0,10433.0,5,0,1,0,0.0,0
102426,0.0,71,0,3.0,2267.0,9,0,2,0,0.0,0
58872,2.0,49,0,1.0,4000.0,10,0,0,1,0.0,0
120323,3.0,45,1,1.0,16000.0,12,0,0,0,3.0,0
141473,1.0,46,0,0.0,9783.0,3,0,0,0,2.0,0
144561,0.0,63,0,1.0,13000.0,13,0,2,0,0.0,0
11334,0.0,54,1,2.0,7626.0,8,0,1,0,2.0,0
135932,0.0,55,0,3.0,1540.0,10,0,1,0,1.0,0
29717,0.0,33,0,1.0,2500.0,5,0,0,0,1.0,0
139047,3.0,43,0,2.0,8500.0,23,0,2,0,2.0,0
55156,0.0,63,0,0.0,6739.0,4,0,0,0,1.0,0
125906,0.0,54,0,0.0,2875.0,2,0,0,0,0.0,0
68912,2.0,63,0,2.0,5700.0,7,0,1,0,0.0,0
86224,0.0,51,0,3.0,1450.0,15,0,2,0,1.0,0
52638,1.0,47,0,2.0,7000.0,5,0,0,0,0.0,0
701,0.0,75,0,1.0,7876.0,11,0,2,0,0.0,0
33439,2.0,52,0,1.0,18562.0,4,0,1,0,4.0,0
96205,0.0,81,0,0.0,2217.0,2,0,0,0,0.0,0
131120,1.0,69,0,2.0,4725.0,13,0,2,0,0.0,0
103111,0.0,36,0,3.0,4167.0,9,0,1,1,0.0,0
116890,0.0,40,1,2.0,9167.0,16,0,1,0,2.0,0
148186,1.0,41,0,2.0,5600.0,6,0,3,0,2.0,0
128697,0.0,76,1,3.0,8377.0,27,0,15,0,1.0,0
134303,1.0,43,0,1.0,3000.0,6,0,0,0,0.0,0
149921,0.0,49,0,0.0,5000.0,2,0,0,0,3.0,0
2699,0.0,54,0,0.0,4000.0,7,0,0,0,1.0,0
22020,0.0,44,0,0.0,3416.0,6,0,0,0,2.0,0
927,1.0,24,0,0.0,3200.0,11,0,0,0,0.0,0
14724,0.0,38,0,2.0,4960.0,3,0,1,0,1.0,0
8868,1.0,45,0,3.0,1.0,6,0,0,0,0.0,0
61990,0.0,50,0,2.0,4080.0,9,0,2,0,1.0,0
2883,0.0,36,0,1.0,2600.0,5,0,0,0,2.0,0
6191,0.0,49,0,1.0,40000.0,16,0,3,0,3.0,0
141175,0.0,58,0,3.0,1532.0,12,0,2,0,0.0,0
80970,0.0,60,0,0.0,3500.0,2,0,0,0,1.0,0
145647,0.0,88,0,0.0,3413.0,1,0,0,0,0.0,0
77730,1.0,53,0,1.0,4156.0,4,0,0,0,0.0,0
121751,0.0,43,1,2.0,6500.0,6,0,2,0,0.0,0
21143,1.0,49,1,2.0,4160.0,11,0,1,0,0.0,0
88258,0.0,31,1,1.0,3000.0,12,0,2,0,0.0,0
82559,1.0,40,0,2.0,4700.0,5,0,1,0,1.0,0
46339,0.0,41,0,0.0,20000.0,11,0,0,0,2.0,0
47008,2.0,45,1,2.0,9700.0,13,0,1,0,2.0,0
15472,0.0,70,0,2.0,2000.0,18,1,1,0,0.0,1
52870,1.0,27,1,1.0,1200.0,7,0,0,0,1.0,0
19883,0.0,70,0,2.0,9166.0,14,0,1,0,0.0,0
127114,0.0,33,0,1.0,4000.0,8,0,0,0,0.0,0
122430,0.0,47,1,1.0,5000.0,4,0,1,0,3.0,0
71533,0.0,54,0,1.0,1394.0,3,0,0,0,1.0,0
27464,3.0,73,1,2.0,2700.0,7,0,1,0,0.0,1
139354,0.0,66,0,1.0,26000.0,13,0,2,0,0.0,0
51370,0.0,64,0,3.0,0.0,4,0,0,0,0.0,0
92906,0.0,63,0,1.0,7277.0,11,0,2,0,1.0,0
39235,3.0,29,1,1.0,3505.0,5,1,0,1,2.0,1
61084,1.0,58,0,0.0,4766.0,5,0,0,0,1.0,0
89154,2.0,29,0,3.0,0.0,3,0,0,0,3.0,1
74981,0.0,46,0,2.0,8000.0,5,0,2,0,1.0,0
56358,2.0,47,0,1.0,4830.0,3,0,1,0,1.0,0
65474,0.0,41,1,2.0,6170.0,10,0,1,0,2.0,0
139775,0.0,48,1,0.0,35000.0,11,0,3,0,7.0,0
19921,0.0,61,1,2.0,5700.0,24,0,1,0,1.0,0
67660,2.0,41,1,1.0,8300.0,9,0,1,0,3.0,1
75693,0.0,56,0,0.0,2800.0,3,0,0,0,0.0,0
119784,2.0,59,0,2.0,6967.0,10,0,1,1,1.0,0
88183,0.0,51,0,1.0,14000.0,8,0,2,0,4.0,0
121874,0.0,59,0,1.0,14300.0,11,0,2,0,1.0,0
27124,1.0,30,0,0.0,6250.0,3,0,1,0,0.0,0
143268,0.0,62,0,1.0,12744.0,5,0,1,0,2.0,0
103190,0.0,33,0,1.0,4583.0,9,0,0,0,0.0,0
132082,2.0,64,0,2.0,1890.0,6,1,0,1,0.0,0
87237,1.0,32,0,2.0,7306.0,6,0,1,0,0.0,0
53205,1.0,34,1,3.0,3200.0,8,1,2,0,3.0,0
141637,0.0,59,0,0.0,9264.0,5,0,0,0,1.0,0
139825,0.0,80,0,1.0,1700.0,8,0,0,0,0.0,0
37990,0.0,39,0,1.0,9000.0,3,0,2,0,2.0,0
5659,2.0,46,0,1.0,10000.0,3,0,2,0,3.0,0
81725,0.0,55,0,1.0,2600.0,4,0,1,0,0.0,0
8217,1.0,49,0,2.0,6666.0,9,0,2,0,0.0,1
134702,2.0,52,0,2.0,13718.0,26,0,4,0,2.0,0
3376,0.0,54,0,0.0,8106.0,6,0,0,0,0.0,0
89025,2.0,58,1,2.0,4800.0,8,0,1,0,2.0,0
50797,0.0,31,0,0.0,2500.0,8,0,0,0,0.0,0
19186,2.0,80,0,1.0,750.0,3,0,0,0,0.0,1
39720,2.0,48,1,2.0,3500.0,12,0,0,0,3.0,1
140105,0.0,80,0,2.0,3964.0,11,0,3,0,1.0,0
133239,2.0,39,0,1.0,2950.0,9,0,0,0,0.0,0
136830,0.0,80,0,1.0,3100.0,4,0,1,0,0.0,0
47555,2.0,38,0,2.0,2600.0,3,1,1,1,0.0,1
34149,2.0,39,1,2.0,4500.0,7,1,0,0,1.0,1
82059,0.0,73,0,1.0,5643.0,5,0,1,0,0.0,0
133771,0.0,63,0,0.0,4000.0,7,0,0,0,0.0,0
55489,0.0,69,0,1.0,13755.0,17,0,3,0,0.0,0
13752,0.0,56,0,0.0,3446.0,7,0,0,0,0.0,0
64957,0.0,62,0,1.0,8083.0,7,0,1,0,0.0,0
109746,0.0,51,0,1.0,15063.0,14,0,3,0,1.0,0
47807,0.0,73,0,1.0,5100.0,8,0,2,0,1.0,0
145444,1.0,55,1,2.0,3000.0,18,0,0,0,0.0,0
138406,1.0,49,0,2.0,2560.0,6,0,0,0,0.0,1
148371,0.0,80,0,1.0,3100.0,4,0,2,0,0.0,0
34413,2.0,33,0,2.0,5500.0,12,0,2,0,1.0,0
63573,0.0,58,0,2.0,8510.0,18,0,2,0,0.0,0
103026,1.0,56,1,2.0,7833.0,20,0,1,1,0.0,0
133355,3.0,33,1,2.0,3650.0,11,0,2,0,0.0,0
73327,0.0,54,0,1.0,10500.0,8,0,1,0,0.0,0
94559,2.0,49,0,2.0,9250.0,11,0,1,0,3.0,0
58311,0.0,62,0,1.0,17058.0,6,0,3,0,0.0,0
28727,1.0,31,0,1.0,6250.0,6,0,0,0,2.0,0
41069,0.0,49,0,1.0,11362.0,14,0,1,0,2.0,0
123204,2.0,44,0,1.0,7883.0,5,0,0,0,0.0,0
97074,0.0,35,0,1.0,4166.0,17,0,0,0,0.0,0
140856,1.0,52,1,1.0,4431.0,12,0,2,0,0.0,0
8191,0.0,54,0,1.0,5416.0,3,0,1,0,0.0,0
128522,2.0,60,1,1.0,7300.0,3,0,2,0,2.0,0
78280,0.0,62,0,0.0,5500.0,7,0,1,0,0.0,0
48078,1.0,71,0,1.0,14416.0,17,0,3,0,2.0,0
81269,0.0,64,0,0.0,5500.0,6,0,1,0,1.0,0
106111,0.0,43,0,1.0,16534.0,8,0,1,0,5.0,0
57073,1.0,26,0,2.0,3000.0,9,0,1,0,1.0,1
76824,1.0,33,1,2.0,2975.0,7,0,1,0,1.0,0
147828,0.0,62,0,1.0,5698.0,9,0,1,0,0.0,0
144742,0.0,46,0,1.0,3526.0,7,0,1,0,0.0,0
2983,2.0,33,1,2.0,900.0,7,1,0,1,0.0,0
7955,0.0,43,0,1.0,8600.0,15,0,1,1,0.0,0
147018,0.0,45,0,1.0,5600.0,10,0,1,0,2.0,0
83063,0.0,27,0,0.0,3500.0,7,0,0,0,0.0,0
133191,0.0,45,1,1.0,7201.0,29,0,2,0,2.0,0
35291,1.0,64,0,1.0,6330.0,16,0,1,0,0.0,0
128130,0.0,47,1,2.0,7416.0,17,0,3,0,1.0,0
95419,0.0,58,0,2.0,4500.0,10,0,2,0,2.0,0
15395,0.0,67,0,3.0,2100.0,8,0,2,0,0.0,0
23033,1.0,55,1,3.0,5000.0,11,0,2,0,0.0,0
79596,0.0,54,0,1.0,8953.0,11,0,1,0,0.0,0
114749,3.0,45,0,2.0,10000.0,16,0,1,0,0.0,0
62958,1.0,46,0,2.0,3175.0,9,0,1,0,2.0,0
105275,0.0,54,0,0.0,7815.0,4,0,0,0,0.0,0
114811,0.0,38,0,3.0,5000.0,8,0,2,0,2.0,0
145900,0.0,39,1,0.0,4500.0,26,0,0,0,1.0,0
40580,1.0,36,0,1.0,2450.0,4,0,0,1,3.0,0
49701,0.0,71,0,1.0,7850.0,18,0,1,0,0.0,0
46387,0.0,51,0,2.0,4600.0,11,0,1,0,1.0,0
42382,0.0,48,0,3.0,1499.0,8,0,1,0,2.0,0
128660,1.0,30,0,1.0,3358.0,6,0,0,0,0.0,0
99518,0.0,65,0,1.0,4500.0,7,0,1,0,1.0,0
120432,0.0,63,0,2.0,5583.0,6,0,1,0,1.0,0
95334,0.0,54,1,2.0,4416.0,30,0,1,1,1.0,0
74181,0.0,54,0,3.0,400.0,7,0,1,0,0.0,0
33561,1.0,51,0,2.0,10667.0,12,0,2,0,4.0,0
54509,2.0,26,1,1.0,3200.0,5,0,0,0,0.0,0
13489,0.0,70,0,1.0,5956.0,9,0,0,0,1.0,0
117732,2.0,63,0,0.0,1800.0,3,0,0,0,0.0,0
44010,0.0,44,0,2.0,8500.0,12,0,1,0,0.0,0
55126,0.0,31,0,1.0,1765.0,6,0,0,0,0.0,0
19100,0.0,25,0,1.0,6440.0,3,0,1,0,1.0,0
142993,2.0,69,0,1.0,25114.0,17,0,2,0,0.0,0
144803,0.0,54,1,1.0,6361.0,17,0,1,0,0.0,0
128120,0.0,71,0,1.0,10000.0,8,0,1,0,1.0,0
133484,1.0,55,1,1.0,5821.0,13,0,0,0,0.0,0
37341,0.0,63,0,0.0,2500.0,2,0,0,0,0.0,0
132459,0.0,49,0,1.0,10000.0,10,0,1,0,2.0,0
91458,2.0,42,0,1.0,4568.0,6,0,0,0,6.0,0
7245,0.0,23,0,0.0,820.0,2,0,0,0,0.0,0
38781,0.0,64,0,1.0,5000.0,4,0,1,0,0.0,0
120733,1.0,34,0,1.0,4964.0,5,0,0,0,2.0,0
89734,3.0,30,0,0.0,4600.0,6,0,0,0,2.0,0
88804,2.0,22,0,1.0,700.0,1,0,0,0,0.0,0
65422,0.0,51,1,1.0,9410.0,16,0,0,0,2.0,0
94787,0.0,44,0,0.0,4499.0,9,0,1,0,0.0,0
98696,0.0,71,1,0.0,6000.0,14,0,1,0,0.0,0
15980,0.0,30,0,2.0,3000.0,4,0,1,0,0.0,0
68722,0.0,41,0,3.0,700.0,7,1,0,1,0.0,1
32479,0.0,88,0,0.0,2100.0,7,0,0,0,1.0,0
11233,2.0,59,0,1.0,8167.0,6,0,0,0,2.0,0
10981,1.0,32,0,2.0,7000.0,5,0,1,0,1.0,0
117907,0.0,79,0,0.0,1767.0,9,0,0,0,0.0,0
14576,0.0,59,0,0.0,5416.0,12,0,0,0,0.0,0
79791,0.0,63,0,1.0,17862.0,4,0,1,0,0.0,0
81217,0.0,44,0,0.0,5000.0,3,0,0,0,1.0,0
58735,1.0,40,0,3.0,1.0,8,0,3,0,2.0,0
74178,1.0,33,0,1.0,16000.0,12,0,1,0,4.0,0
50045,0.0,59,0,0.0,2500.0,12,0,0,0,0.0,0
132816,0.0,76,0,2.0,8333.0,11,0,2,0,0.0,0
19652,0.0,63,0,1.0,3877.0,15,0,0,0,0.0,0
38596,2.0,26,1,0.0,1700.0,3,1,0,0,0.0,0
9476,0.0,49,0,1.0,9428.0,20,0,2,0,1.0,0
69014,0.0,50,0,2.0,5217.0,11,0,1,0,1.0,0
113227,2.0,38,0,1.0,1415.0,3,0,0,0,2.0,1
30530,1.0,54,0,1.0,3700.0,9,0,1,0,0.0,0
97603,0.0,61,0,2.0,6960.0,5,0,1,0,1.0,0
34520,0.0,50,0,1.0,7400.0,14,0,2,0,1.0,0
118913,0.0,45,0,1.0,19500.0,5,0,2,0,1.0,0
51102,0.0,42,0,1.0,12500.0,4,0,1,0,1.0,0
126458,2.0,60,1,1.0,2917.0,9,0,1,1,0.0,0
66508,2.0,30,1,1.0,3625.0,6,0,0,1,1.0,0
76657,0.0,53,0,2.0,11178.0,10,0,3,0,0.0,0
87806,0.0,55,0,0.0,8900.0,8,0,0,0,1.0,0
50942,2.0,45,0,0.0,4368.0,8,0,0,0,1.0,0
1772,2.0,56,0,1.0,55000.0,16,0,6,0,1.0,0
140568,1.0,37,0,2.0,5000.0,11,0,1,0,0.0,0
149423,1.0,37,0,2.0,5833.0,3,0,1,0,0.0,0
107835,0.0,81,0,0.0,4000.0,4,0,0,0,0.0,0
50291,0.0,26,0,2.0,2000.0,6,0,2,0,0.0,1
44257,2.0,29,0,3.0,1.0,9,0,1,0,0.0,0
144064,0.0,70,1,1.0,4916.0,13,0,2,0,1.0,0
5899,2.0,79,0,2.0,4632.0,10,0,1,0,0.0,0
148132,0.0,53,0,2.0,2200.0,11,0,1,0,3.0,0
138191,2.0,79,0,0.0,2463.0,1,0,0,0,0.0,0
74725,0.0,69,0,1.0,8333.0,16,0,1,0,0.0,0
67066,0.0,59,1,1.0,6551.0,10,0,2,0,0.0,0
57568,2.0,24,0,0.0,1000.0,1,0,0,0,0.0,0
94250,0.0,48,0,2.0,3400.0,5,0,2,0,0.0,0
84265,1.0,57,0,2.0,13012.0,22,0,1,0,1.0,0
119505,0.0,74,0,0.0,8833.0,4,0,0,0,1.0,0
122412,0.0,49,0,1.0,8467.0,13,0,2,0,3.0,0
17121,0.0,36,0,1.0,8600.0,3,0,1,0,0.0,0
99247,0.0,61,0,1.0,6666.0,23,0,0,0,1.0,0
26048,1.0,58,0,1.0,8000.0,11,0,1,0,1.0,0
109244,0.0,39,0,3.0,0.0,3,0,1,0,0.0,0
96432,1.0,49,0,1.0,6940.0,7,0,2,0,2.0,0
1214,2.0,55,0,2.0,9333.0,9,0,3,0,2.0,0
68455,0.0,48,0,0.0,7500.0,2,0,0,0,0.0,0
37301,0.0,33,0,2.0,5199.0,10,0,1,0,3.0,0
147839,1.0,23,0,3.0,0.0,2,0,0,0,0.0,0
113303,1.0,48,0,3.0,1700.0,9,0,1,0,0.0,0
8623,1.0,45,0,2.0,4100.0,9,0,0,0,2.0,0
86649,3.0,37,1,1.0,4000.0,11,0,0,0,2.0,1
53311,1.0,55,0,2.0,7027.0,15,0,1,0,0.0,0
37295,0.0,38,0,1.0,6250.0,13,0,1,0,2.0,0
50245,0.0,43,1,1.0,12333.0,13,0,2,0,0.0,0
93231,0.0,90,0,0.0,5021.0,9,0,0,0,0.0,0
78774,2.0,52,0,2.0,4500.0,10,0,1,0,1.0,0
61209,0.0,46,0,2.0,5420.0,10,0,1,0,3.0,0
12569,0.0,56,1,0.0,5916.0,2,0,0,0,0.0,0
15792,0.0,84,1,1.0,8000.0,8,0,2,0,0.0,0
71556,0.0,57,0,1.0,6200.0,8,0,2,0,0.0,0
107023,0.0,77,0,2.0,6182.0,19,0,2,0,1.0,0
4539,0.0,53,0,1.0,7455.0,8,0,1,0,0.0,0
22763,0.0,72,0,1.0,4107.0,9,0,1,0,0.0,0
15709,2.0,46,0,1.0,12833.0,4,0,1,0,2.0,0
44,2.0,28,0,1.0,3661.0,4,0,0,0,1.0,0
56488,0.0,47,0,0.0,5122.0,2,0,0,0,3.0,0
121976,2.0,29,1,0.0,3040.0,2,0,0,0,0.0,0
56417,0.0,52,0,2.0,8166.0,13,0,2,0,2.0,0
3298,0.0,49,0,0.0,5950.0,7,0,0,0,0.0,0
32154,0.0,61,0,1.0,3200.0,4,0,1,0,0.0,0
123980,0.0,48,1,2.0,4330.0,9,0,2,0,1.0,0
117622,0.0,72,0,0.0,4042.0,4,0,0,0,0.0,0
134431,0.0,70,0,0.0,2275.0,8,0,0,0,0.0,0
126316,0.0,39,0,2.0,11180.0,8,0,1,0,1.0,0
34429,0.0,45,0,2.0,5764.0,4,0,2,0,3.0,0
5790,0.0,75,0,1.0,10000.0,7,0,1,0,1.0,0
80117,0.0,37,0,3.0,750.0,5,0,2,0,3.0,0
101765,1.0,46,0,0.0,6583.0,3,0,0,0,0.0,0
62171,2.0,53,0,1.0,1790.0,1,0,0,0,0.0,0
95800,2.0,64,1,2.0,10832.0,13,0,6,0,0.0,0
58991,0.0,74,0,1.0,2850.0,11,0,0,0,1.0,0
136043,0.0,40,0,0.0,3000.0,2,0,0,0,1.0,0
113078,2.0,37,0,1.0,11667.0,5,0,2,0,2.0,0
43568,2.0,42,1,2.0,5333.0,6,0,2,0,0.0,1
110461,0.0,80,0,2.0,11416.0,8,0,4,0,0.0,0
31048,1.0,35,0,2.0,6050.0,7,0,1,0,1.0,0
64521,2.0,41,0,2.0,4300.0,6,0,1,0,3.0,0
94375,0.0,31,1,2.0,3514.0,12,0,1,0,2.0,0
26079,2.0,21,0,0.0,3100.0,1,0,0,0,0.0,0
86730,0.0,32,0,0.0,6000.0,5,0,0,0,0.0,0
4104,0.0,49,0,2.0,6000.0,15,0,2,0,0.0,0
31691,2.0,42,0,2.0,7500.0,6,0,1,0,3.0,0
90916,2.0,34,1,1.0,3835.0,2,1,0,0,0.0,0
17084,0.0,82,0,0.0,3000.0,1,0,0,0,0.0,0
88135,1.0,34,0,2.0,4000.0,5,0,2,0,0.0,1
128162,2.0,38,1,0.0,7083.0,5,0,0,0,0.0,0
7225,3.0,40,0,2.0,3230.0,16,0,2,0,1.0,1
44758,0.0,45,0,1.0,7000.0,5,0,1,0,2.0,0
149415,1.0,38,1,1.0,6419.0,11,0,0,1,2.0,0
70943,2.0,42,0,2.0,9000.0,15,0,1,0,2.0,0
3760,2.0,46,0,1.0,2600.0,1,0,0,0,6.0,0
60092,0.0,56,1,2.0,2267.0,7,0,2,0,0.0,0
55779,1.0,43,0,2.0,6916.0,13,0,1,0,2.0,0
32203,2.0,58,1,2.0,10000.0,10,0,2,0,1.0,1
118181,2.0,47,0,0.0,2256.0,3,0,0,0,3.0,0
93077,2.0,33,0,0.0,1994.0,0,1,0,0,2.0,0
148227,0.0,60,0,0.0,4282.0,5,0,0,0,0.0,0
35548,0.0,33,0,1.0,6600.0,5,0,0,0,3.0,0
125749,0.0,56,1,1.0,9094.0,5,1,1,1,4.0,1
128146,1.0,54,0,2.0,3272.0,6,0,0,0,0.0,0
127248,1.0,86,1,2.0,6083.0,22,0,1,0,0.0,0
63190,1.0,34,0,2.0,6041.0,8,0,2,0,2.0,0
15931,0.0,59,0,1.0,9093.0,10,0,1,0,0.0,0
47212,1.0,66,0,2.0,11500.0,20,0,2,0,0.0,0
18569,2.0,56,1,1.0,8333.0,11,0,1,0,3.0,0
144550,0.0,48,1,2.0,9350.0,9,0,1,0,0.0,0
69510,0.0,82,0,1.0,3166.0,11,0,0,0,0.0,0
148100,1.0,68,0,1.0,18700.0,9,0,1,0,0.0,0
85577,0.0,71,0,3.0,5000.0,21,0,2,0,0.0,0
104380,1.0,26,1,2.0,4600.0,6,0,1,0,0.0,0
64296,0.0,60,1,1.0,8400.0,12,0,1,0,0.0,0
116993,2.0,43,0,0.0,3100.0,0,1,0,1,2.0,0
115446,0.0,48,1,2.0,9367.0,20,0,4,0,0.0,0
101627,0.0,68,0,0.0,9800.0,6,0,0,0,0.0,0
17461,0.0,54,0,2.0,10890.0,26,0,3,0,0.0,0
122296,0.0,52,0,1.0,12901.0,10,0,2,0,3.0,0
79706,1.0,50,0,1.0,14000.0,6,0,1,0,1.0,0
148919,0.0,76,0,0.0,6500.0,3,0,0,0,0.0,0
136014,0.0,29,0,1.0,4120.0,11,0,0,0,0.0,0
121476,0.0,30,0,1.0,4000.0,6,0,0,0,0.0,0
141008,1.0,53,1,1.0,5900.0,7,1,1,1,0.0,0
119945,0.0,58,0,0.0,6175.0,10,0,0,0,0.0,0
64283,0.0,72,0,0.0,2100.0,8,0,0,0,0.0,0
18538,0.0,66,0,2.0,3800.0,9,0,2,0,0.0,0
121785,0.0,50,0,2.0,3580.0,7,0,0,0,2.0,0
40215,1.0,47,0,3.0,1300.0,17,0,1,0,1.0,0
137502,2.0,43,0,2.0,4108.0,7,0,0,0,1.0,0
118339,0.0,26,0,0.0,5000.0,9,0,0,0,0.0,0
117572,1.0,48,0,1.0,7880.0,10,0,2,0,0.0,0
122096,0.0,68,0,1.0,18334.0,8,0,2,0,3.0,0
29415,2.0,46,0,1.0,8200.0,2,0,0,0,2.0,0
112346,0.0,63,0,1.0,4791.0,10,0,1,0,0.0,0
62750,0.0,81,0,0.0,20000.0,16,0,0,0,0.0,0
122408,0.0,70,0,2.0,17403.0,25,0,12,0,0.0,0
106763,0.0,46,0,1.0,8333.0,8,0,1,0,1.0,0
24700,1.0,65,0,1.0,2400.0,7,0,2,0,0.0,0
9730,2.0,48,0,2.0,10000.0,7,0,2,0,2.0,0
77823,2.0,43,0,2.0,15000.0,12,0,1,0,2.0,0
18434,0.0,51,0,2.0,5000.0,14,0,1,0,0.0,0
109119,1.0,56,0,3.0,1500.0,8,0,3,0,0.0,1
71351,1.0,48,0,2.0,5300.0,27,0,1,0,0.0,0
142575,0.0,32,0,0.0,1752.0,1,0,0,0,1.0,0
24192,0.0,51,1,1.0,8237.0,12,0,1,0,3.0,0
137240,0.0,56,0,1.0,13583.0,8,0,1,0,0.0,0
79256,1.0,38,0,2.0,5410.0,6,0,0,0,0.0,0
81784,0.0,60,0,1.0,9000.0,4,0,1,0,1.0,0
123614,0.0,43,0,2.0,5425.0,7,0,1,0,0.0,0
76095,1.0,59,1,3.0,1.0,22,0,1,1,1.0,0
67190,2.0,49,0,2.0,5147.0,7,0,1,0,2.0,0
124612,0.0,45,0,0.0,7083.0,25,0,1,0,1.0,0
67567,1.0,46,0,2.0,10665.0,8,0,2,0,4.0,0
127790,0.0,53,0,1.0,10075.0,9,0,2,0,0.0,0
36828,1.0,38,0,1.0,6833.0,7,0,1,0,1.0,0
13360,2.0,57,0,1.0,4800.0,4,0,1,0,2.0,0
42409,0.0,62,0,2.0,5100.0,5,0,1,0,0.0,0
91190,0.0,53,0,1.0,2161.0,8,0,0,0,1.0,0
68741,2.0,37,0,0.0,2500.0,2,0,0,0,2.0,0
131996,1.0,47,0,3.0,3097.0,11,0,2,0,3.0,0
96317,0.0,42,0,1.0,11613.0,21,0,2,0,2.0,0
115782,0.0,62,0,1.0,4300.0,14,0,2,0,1.0,0
